window_start	window_end	window_mid	control_maternal_mean	control_paternal_mean	n_controls_maternal	n_controls_paternal	maternal_paternal_delta	abs_delta
23276000	23277000	23276500	0.9558929097799769	0.9592271332105586	2	2	-0.003334223430581762	0.003334223430581762
23277000	23278000	23277500	0.8838405359927768	0.807145390070922	2	2	0.07669514592185478	0.07669514592185478
23278000	23279000	23278500	0.8267702702702703	0.8211551282051284	2	2	0.005615142065141909	0.005615142065141909
23279000	23280000	23279500	0.9256030612244897	0.9098048611111111	2	2	0.015798200113378513	0.015798200113378513
23280000	23281000	23280500	0.9783233863837313	0.9327142857142857	2	2	0.04560910066944557	0.04560910066944557
23281000	23282000	23281500	NaN	NaN	0	0	NaN	NaN
23282000	23283000	23282500	0.9153869191744495	0.8879802956751986	2	2	0.027406623499250826	0.027406623499250826
23283000	23284000	23283500	0.852052380952381	0.8123527777777777	2	2	0.039699603174603304	0.039699603174603304
23284000	23285000	23284500	0.9880114379084968	0.9566658834586466	2	2	0.03134555444985021	0.03134555444985021
23285000	23286000	23285500	0.9578807212205271	0.9765377562028048	2	2	-0.018657034982277665	0.018657034982277665
23286000	23287000	23286500	0.9267977777777778	0.9392485507246376	2	2	-0.012450772946859812	0.012450772946859812
23287000	23288000	23287500	0.9758349514563107	0.8741136363636364	2	2	0.10172131509267435	0.10172131509267435
23288000	23289000	23288500	0.8183488612836438	0.85365503875969	2	2	-0.03530617747604614	0.03530617747604614
23289000	23290000	23289500	0.9353802588996764	0.9569838709677418	2	2	-0.021603612068065492	0.021603612068065492
23290000	23291000	23290500	0.9060274316939891	0.8966016483516484	2	2	0.009425783342340788	0.009425783342340788
23291000	23292000	23291500	0.8583904223478549	0.9491440677966102	2	2	-0.0907536454487553	0.0907536454487553
23292000	23293000	23292500	0.856383597285068	0.8936831483104489	2	2	-0.03729955102538096	0.03729955102538096
23293000	23294000	23293500	0.8332919503090003	0.8344155913978495	2	2	-0.0011236410888492143	0.0011236410888492143
23294000	23295000	23294500	0.8629676966292135	0.8794375	2	2	-0.016469803370786518	0.016469803370786518
23295000	23296000	23295500	0.9037650600204947	0.931463317820969	2	2	-0.027698257800474302	0.027698257800474302
23296000	23297000	23296500	0.926375	0.9635	2	2	-0.037125000000000075	0.037125000000000075
23297000	23298000	23297500	0.8250487846336902	0.8779348094450136	2	2	-0.05288602481132332	0.05288602481132332
23298000	23299000	23298500	0.9250984375	0.9542099236641222	2	2	-0.02911148616412218	0.02911148616412218
23299000	23300000	23299500	0.9058047403367688	0.9831013859275053	2	2	-0.07729664559073646	0.07729664559073646
23300000	23301000	23300500	0.9124333333333332	0.9276305855161787	2	2	-0.015197252182845511	0.015197252182845511
23301000	23302000	23301500	0.7987125686813188	0.8917587970323264	2	2	-0.09304622835100762	0.09304622835100762
23302000	23303000	23302500	0.9273498020323856	0.9417766347025067	2	2	-0.014426832670121126	0.014426832670121126
23303000	23304000	23303500	0.8774965186599826	0.8853452473704713	2	2	-0.007848728710488695	0.007848728710488695
23304000	23305000	23304500	0.8730929973066563	0.8578245294273596	2	2	0.015268467879296699	0.015268467879296699
23305000	23306000	23305500	0.7456350215481791	0.7144654138284405	2	2	0.031169607719738535	0.031169607719738535
23306000	23307000	23306500	0.8049560521108179	0.8849229905896572	2	2	-0.07996693847883929	0.07996693847883929
23307000	23308000	23307500	0.791310292793341	0.8210148305084746	2	2	-0.029704537715133594	0.029704537715133594
23308000	23309000	23308500	0.8729861111111111	0.8391301282051282	2	2	0.033855982905982906	0.033855982905982906
23309000	23310000	23309500	0.7118041649708318	0.6578951612903225	2	2	0.053909003680509215	0.053909003680509215
23310000	23311000	23310500	0.6226283250779674	0.617756067961165	2	2	0.004872257116802392	0.004872257116802392
23311000	23312000	23311500	0.7154901960784315	0.7126871318423447	2	2	0.002803064236086783	0.002803064236086783
23312000	23313000	23312500	NaN	NaN	0	0	NaN	NaN
23313000	23314000	23313500	0.7312485003817211	0.8381428571428572	2	2	-0.10689435676113612	0.10689435676113612
23314000	23315000	23314500	0.8195346153846153	0.8645334538878842	2	2	-0.04499883850326891	0.04499883850326891
23315000	23316000	23315500	0.8423091447141482	0.7982981383828699	2	2	0.0440110063312783	0.0440110063312783
23316000	23317000	23316500	NaN	NaN	0	0	NaN	NaN
23317000	23318000	23317500	0.9087197660858828	0.9265043478260869	2	2	-0.01778458174020414	0.01778458174020414
23318000	23319000	23318500	0.7127510866719037	0.7363597067409766	2	2	-0.02360862006907294	0.02360862006907294
23319000	23320000	23319500	0.8552468373050897	0.9160714573268922	2	2	-0.060824620021802556	0.060824620021802556
23320000	23321000	23320500	0.8612779986474943	0.8492988949540674	2	2	0.011979103693426918	0.011979103693426918
23321000	23322000	23321500	0.7838826566951567	0.9256822308690014	2	2	-0.1417995741738447	0.1417995741738447
23322000	23323000	23322500	0.8137997914494264	0.8639690770479972	2	2	-0.05016928559857081	0.05016928559857081
23323000	23324000	23323500	0.9244999999999999	0.918125	2	2	0.0063749999999999085	0.0063749999999999085
23324000	23325000	23324500	NaN	NaN	0	0	NaN	NaN
23325000	23326000	23325500	0.7673920757363255	0.7728950911284691	2	2	-0.005503015392143595	0.005503015392143595
23326000	23327000	23326500	0.9470544231518663	0.9026168027267265	2	2	0.04443762042513977	0.04443762042513977
23327000	23328000	23327500	0.8482855747168974	0.8440384615384615	2	2	0.004247113178435846	0.004247113178435846
23328000	23329000	23328500	0.8673716356107659	0.8010047169811321	2	2	0.06636691862963384	0.06636691862963384
23329000	23330000	23329500	0.9235050363335492	0.8847467169811322	2	2	0.038758319352417026	0.038758319352417026
23330000	23331000	23330500	NaN	NaN	0	0	NaN	NaN
23331000	23332000	23331500	0.7259557291666667	0.8526666666666667	2	2	-0.12671093749999995	0.12671093749999995
23332000	23333000	23332500	0.9406628472222223	0.9796111111111112	2	2	-0.038948263888888945	0.038948263888888945
23333000	23334000	23333500	0.9215101019349325	0.8872079831932773	2	2	0.03430211874165523	0.03430211874165523
23334000	23335000	23334500	0.9563029495214406	0.9479788043752205	2	2	0.008324145146220041	0.008324145146220041
23335000	23336000	23335500	0.7580227117916563	0.7722482157083371	2	2	-0.01422550391668087	0.01422550391668087
23336000	23337000	23336500	0.9632874931581827	0.7632854477611941	2	2	0.20000204539698863	0.20000204539698863
23337000	23338000	23337500	0.8336294698150145	0.8686994272033652	2	2	-0.035069957388350725	0.035069957388350725
23338000	23339000	23338500	0.6903165711307973	0.8454336734693877	2	2	-0.15511710233859044	0.15511710233859044
23339000	23340000	23339500	0.76	0.8187143420015761	2	2	-0.0587143420015761	0.0587143420015761
23340000	23341000	23340500	0.9162702782846716	0.8578528508771929	2	2	0.058417427407478684	0.058417427407478684
23341000	23342000	23341500	NaN	NaN	0	0	NaN	NaN
23342000	23343000	23342500	NaN	NaN	0	0	NaN	NaN
23343000	23344000	23343500	NaN	NaN	0	0	NaN	NaN
23344000	23345000	23344500	0.7649901315789474	0.8698854790419162	2	2	-0.1048953474629688	0.1048953474629688
23345000	23346000	23345500	0.8571233546858548	0.9107714254241022	2	2	-0.0536480707382474	0.0536480707382474
23346000	23347000	23346500	0.8075496402877698	0.7828935776515638	2	2	0.02465606263620601	0.02465606263620601
23347000	23348000	23347500	0.7846007699883608	0.7891070359281437	2	2	-0.004506265939782872	0.004506265939782872
23348000	23349000	23348500	0.8820169491525423	0.8190921295559446	2	2	0.06292481959659768	0.06292481959659768
23349000	23350000	23349500	0.5834312770562771	0.8840171309399671	2	2	-0.3005858538836901	0.3005858538836901
23350000	23351000	23350500	0.8543341158059468	0.8845555555555555	2	2	-0.03022143974960878	0.03022143974960878
23351000	23352000	23351500	0.8325975570727544	0.8758766244184181	2	2	-0.04327906734566367	0.04327906734566367
23352000	23353000	23352500	0.8504492986142662	0.9633284412612309	2	2	-0.11287914264696464	0.11287914264696464
23353000	23354000	23353500	0.9216444292653307	0.9194932432432432	2	2	0.0021511860220875256	0.0021511860220875256
23354000	23355000	23354500	0.7802696262517883	0.8715855263157897	2	2	-0.09131590006400137	0.09131590006400137
23355000	23356000	23355500	0.9037083333333333	0.9571105442176872	2	2	-0.05340221088435382	0.05340221088435382
23356000	23357000	23356500	0.8919006806930694	0.9086200777093545	2	2	-0.01671939701628511	0.01671939701628511
23357000	23358000	23357500	0.9356275434158348	0.963558806028185	2	2	-0.02793126261235024	0.02793126261235024
23358000	23359000	23358500	0.9306502487562188	0.9211147874934411	2	2	0.009535461262777711	0.009535461262777711
23359000	23360000	23359500	0.8785874199299009	0.9196007779646762	2	2	-0.04101335803477535	0.04101335803477535
23360000	23361000	23360500	0.8791456916099774	0.8861905483405483	2	2	-0.007044856730570981	0.007044856730570981
23361000	23362000	23361500	0.7914357451600014	0.8281133012820513	2	2	-0.036677556122049926	0.036677556122049926
23362000	23363000	23362500	0.8293963119072708	0.9317528524107472	2	2	-0.10235654050347642	0.10235654050347642
23363000	23364000	23363500	0.8382142857142857	0.9285988571428572	2	2	-0.09038457142857148	0.09038457142857148
23364000	23365000	23364500	0.680680533008658	0.844539072039072	2	2	-0.16385853903041392	0.16385853903041392
23365000	23366000	23365500	0.8353570451436387	0.861085616438356	2	2	-0.025728571294717284	0.025728571294717284
23366000	23367000	23366500	0.910408163265306	0.7039102384291727	2	2	0.20649792483613338	0.20649792483613338
23367000	23368000	23367500	0.786114270092947	0.7264751696065128	2	2	0.05963910048643417	0.05963910048643417
23368000	23369000	23368500	0.7801562500000001	0.9241746031746032	2	2	-0.1440183531746031	0.1440183531746031
23369000	23370000	23369500	0.8210686284162997	0.8004424605878879	2	2	0.020626167828411757	0.020626167828411757
23370000	23371000	23370500	0.874868970161861	0.8949416307063365	2	2	-0.02007266054447543	0.02007266054447543
23371000	23372000	23371500	0.8916801007556676	0.9351746170946833	2	2	-0.04349451633901569	0.04349451633901569
23372000	23373000	23372500	0.8834293207638384	0.8735861282730215	2	2	0.009843192490816888	0.009843192490816888
23373000	23374000	23373500	0.8311009615384615	0.9190878378378378	2	2	-0.0879868762993763	0.0879868762993763
23374000	23375000	23374500	0.9106751720183486	0.9474997336624659	2	2	-0.03682456164411729	0.03682456164411729
23375000	23376000	23375500	0.8942519835215137	0.8819587878787879	2	2	0.012293195642725796	0.012293195642725796
23376000	23377000	23376500	0.9257147103658534	0.9429785691266517	2	2	-0.01726385876079828	0.01726385876079828
23377000	23378000	23377500	0.9370777777777777	0.9575645161290323	2	2	-0.020486738351254585	0.020486738351254585
23378000	23379000	23378500	0.9394882772680938	0.9283279276203482	2	2	0.011160349647745593	0.011160349647745593
23379000	23380000	23379500	0.8212200956937799	0.8148207498715974	2	2	0.0063993458221824895	0.0063993458221824895
23380000	23381000	23380500	0.8360014940239044	0.8093315788681064	2	2	0.026669915155798085	0.026669915155798085
23381000	23382000	23381500	0.41374188888888885	0.5543859374019946	2	2	-0.14064404851310575	0.14064404851310575
23382000	23383000	23382500	0.38837763292433536	0.338272049689441	2	2	0.050105583234894335	0.050105583234894335
23383000	23384000	23383500	0.961713963963964	0.9310936184913008	2	2	0.030620345472663235	0.030620345472663235
23384000	23385000	23384500	0.9377713339321805	0.9395809103177525	2	2	-0.0018095763855719982	0.0018095763855719982
23385000	23386000	23385500	0.9339129125412541	0.9848431955138935	2	2	-0.05093028297263946	0.05093028297263946
23386000	23387000	23386500	0.8448619934282584	0.7171034090909092	2	2	0.1277585843373492	0.1277585843373492
