window_start	window_end	window_mid	pwsdel_retained_maternal_mean	n_pwsdel_samples	asdel_retained_paternal_mean	n_asdel_samples	reciprocal_delta	reciprocal_delta_smoothed	abs_reciprocal_delta_smoothed	boundary_threshold	delta_state
17719000	17720000	17719500	0.6923461538461538	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17720000	17721000	17720500	0.8419770114942529	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17721000	17722000	17721500	0.8453897669220946	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17722000	17723000	17722500	0.8060279441117764	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17723000	17724000	17723500	0.8236974358974359	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17724000	17725000	17724500	0.8678822517207474	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17725000	17726000	17725500	0.8571583178005593	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17726000	17727000	17726500	0.8309254568798773	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17727000	17728000	17727500	0.9208449101796407	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17728000	17729000	17728500	0.812065251572327	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17729000	17730000	17729500	0.7545885040885041	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17730000	17731000	17730500	0.9581926031294453	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17731000	17732000	17731500	0.8497119123431354	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17732000	17733000	17732500	0.7383019607843138	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17733000	17734000	17733500	0.8595396291768542	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17734000	17735000	17734500	0.910526692334999	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17735000	17736000	17735500	0.8564400826446279	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17736000	17737000	17736500	0.7311991013071896	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17737000	17738000	17737500	0.69505	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17738000	17739000	17738500	0.9228220064724919	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17739000	17740000	17739500	0.916129663238556	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17740000	17741000	17740500	0.9541400966183575	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17741000	17742000	17741500	0.9239791617612433	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17742000	17743000	17742500	0.7086602402022756	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17743000	17744000	17743500	0.7672717391304349	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17744000	17745000	17744500	0.7412675496688741	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17745000	17746000	17745500	0.8647073774179037	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17746000	17747000	17746500	0.7340329354553492	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17747000	17748000	17747500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17748000	17749000	17748500	0.846153592072667	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17749000	17750000	17749500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17750000	17751000	17750500	0.8261934579439252	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17751000	17752000	17751500	0.8337853535353535	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17752000	17753000	17752500	0.9070910314703801	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17753000	17754000	17753500	0.4531498127340824	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17754000	17755000	17754500	0.8200408496732026	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17755000	17756000	17755500	0.9123210934312527	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17756000	17757000	17756500	0.52684937178755	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17757000	17758000	17757500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17758000	17759000	17758500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17759000	17760000	17759500	0.5953606847697757	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17760000	17761000	17760500	0.5664233990147782	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17761000	17762000	17761500	0.5289258474576272	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17762000	17763000	17762500	0.7558063834519573	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17763000	17764000	17763500	0.8838711593744231	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17764000	17765000	17764500	0.9242107544873744	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17765000	17766000	17765500	0.7864802631578949	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17766000	17767000	17766500	0.746443661971831	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17767000	17768000	17767500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17768000	17769000	17768500	0.8158997634535778	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17769000	17770000	17769500	0.8119803250641573	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17770000	17771000	17770500	0.7491836656859538	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17771000	17772000	17771500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17772000	17773000	17772500	0.8016132123690263	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17773000	17774000	17773500	0.7411401515151514	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17774000	17775000	17774500	0.7991147768002607	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17775000	17776000	17775500	0.7459548164236697	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17776000	17777000	17776500	0.43525	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17777000	17778000	17777500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17778000	17779000	17778500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
