window_start	window_end	window_mid	control_maternal_mean	control_paternal_mean	n_controls_maternal	n_controls_paternal	maternal_paternal_delta	abs_delta	control_maternal_mean_smoothed	control_paternal_mean_smoothed
19266000	19267000	19266500	0.9781325966850828	0.9801907894736842	1	1	-0.0020581927886013	0.0020581927886013	0.8607434139543388	0.876342711793244
19267000	19268000	19267500	0.8321145038167939	0.7646078431372549	1	1	0.0675066606795389	0.0675066606795389	0.8597089398308346	0.876342711793244
19268000	19269000	19268500	NaN	NaN	0	0	NaN	NaN	0.8597089398308346	0.876342711793244
19269000	19270000	19269500	0.714267857142857	0.7646176470588236	1	1	-0.0503497899159666	0.0503497899159666	0.8631824706375035	0.8755915720792445
19270000	19271000	19270500	0.9769675421087648	0.9727	2	1	0.0042675421087647	0.0042675421087647	0.8602830016413928	0.8748365941332004
19271000	19272000	19271500	0.932094890510949	0.8696666666666667	2	1	0.0624282238442822	0.0624282238442822	0.8556270654397378	0.8748365941332004
19272000	19273000	19272500	0.6895046129949847	0.6732331932773109	2	2	0.0162714197176737	0.0162714197176737	0.8556270654397378	0.8748365941332004
19273000	19274000	19273500	0.9349509132420092	0.908395800730308	2	2	0.0265551125117011	0.0265551125117011	0.8549413608893663	0.8748365941332004
19274000	19275000	19274500	0.8474975984314137	0.8767147606382979	2	2	-0.0292171622068841	0.0292171622068841	0.8549413608893663	0.8748365941332004
19275000	19276000	19275500	0.8172165730427938	0.817866262447605	2	2	-0.0006496894048111	0.0006496894048111	0.8462155800702125	0.8755915720792445
19276000	19277000	19276500	0.8449335617090113	0.8381849727677835	2	2	0.0067485889412278	0.0067485889412278	0.8449335617090113	0.87597066294819
19277000	19278000	19277500	0.8713182351866235	0.8545147166989855	2	2	0.016803518487638	0.016803518487638	0.8366139114584343	0.87597066294819
19278000	19279000	19278500	0.6420252519379845	0.7975826753139879	2	2	-0.1555574233760033	0.1555574233760033	0.8321145038167939	0.875212481210299
19279000	19280000	19279500	0.6724690315315316	0.7651067415730337	2	2	-0.0926377100415021	0.0926377100415021	0.8366139114584343	0.875212481210299
19280000	19281000	19280500	0.875708826856413	0.907436655778229	2	2	-0.0317278289218159	0.0317278289218159	0.8343642076376141	0.8748365941332004
19281000	19282000	19281500	0.8912699797744894	0.87597066294819	2	2	0.0152993168262993	0.0152993168262993	0.8260160534065243	0.8720636868613842
19282000	19283000	19282500	0.8199176029962547	0.7610042194092826	2	2	0.058913383586972	0.058913383586972	0.8202062655812641	0.8720636868613842
19283000	19284000	19283500	0.8810572567783095	0.8957693360711843	2	2	-0.0147120792928747	0.0147120792928747	0.8202062655812641	0.8748365941332004
19284000	19285000	19284500	0.8794021649991799	0.875212481210299	2	2	0.0041896837888808	0.0041896837888808	0.8204949281662733	0.8748056278292078
19285000	19286000	19285500	0.8055223951250581	0.8744607070561017	2	2	-0.0689383119310436	0.0689383119310436	0.8228434641276535	0.8748056278292078
19286000	19287000	19286500	0.6302995495495496	0.8557115339578455	2	2	-0.2254119844082959	0.2254119844082959	0.8204949281662733	0.8744607070561017
19287000	19288000	19287500	0.8022490432970688	0.8261654145180936	2	2	-0.0239163712210247	0.0239163712210247	0.8199176029962547	0.8744607070561017
19288000	19289000	19288500	0.862385123347319	0.954640311530308	2	2	-0.0922551881829891	0.0922551881829891	0.8199176029962547	0.8744607070561017
19289000	19290000	19289500	0.5406446660690274	0.9491831905344756	2	2	-0.4085385244654482	0.4085385244654482	0.8172165730427938	0.85836225678538
19290000	19291000	19290500	0.8366139114584343	0.9481018123667376	2	2	-0.1114879009083034	0.1114879009083034	0.8110730444445639	0.8557115339578455
19291000	19292000	19291500	0.8110730444445639	0.9006105061896428	2	2	-0.0895374617450789	0.0895374617450789	0.8072394626769627	0.8557115339578455
19292000	19293000	19292500	0.6471727901831883	0.8905889760528488	2	2	-0.2434161858696605	0.2434161858696605	0.8072394626769627	0.8557115339578455
19293000	19294000	19293500	0.70624501534352	0.7834560421576329	2	2	-0.0772110268141128	0.0772110268141128	0.8072394626769627	0.85836225678538
19294000	19295000	19294500	0.8996146512656129	0.9635611286296152	2	2	-0.0639464773640022	0.0639464773640022	0.8072394626769627	0.85836225678538
19295000	19296000	19295500	0.7248570113909458	0.7789856557093506	2	2	-0.0541286443184048	0.0541286443184048	0.8072394626769627	0.85836225678538
19296000	19297000	19296500	0.6624862229102167	0.8059567401320477	2	2	-0.1434705172218309	0.1434705172218309	0.8055223951250581	0.8557115339578455
19297000	19298000	19297500	0.8204949281662733	0.9208835829493088	2	2	-0.1003886547830353	0.1003886547830353	0.8022490432970688	0.8520314860008258
19298000	19299000	19298500	0.8228434641276535	0.8823136676499509	2	2	-0.0594702035222973	0.0594702035222973	0.8022490432970688	0.8557115339578455
19299000	19300000	19299500	0.8918675361679267	0.8748056278292078	2	2	0.0170619083387189	0.0170619083387189	0.78836184358801	0.8520314860008258
19300000	19301000	19300500	0.8911909773530258	0.8520314860008258	2	2	0.0391594913521999	0.0391594913521999	0.7822468931165456	0.837968912070945
19301000	19302000	19301500	0.7822468931165456	0.85836225678538	2	2	-0.0761153636688344	0.0761153636688344	0.7822468931165456	0.837968912070945
19302000	19303000	19302500	0.6859843680709534	0.8005206615632576	2	2	-0.1145362934923042	0.1145362934923042	0.7822468931165456	0.8261654145180936
19303000	19304000	19303500	0.6782534765961162	0.7496002216470621	2	2	-0.0713467450509458	0.0713467450509458	0.7695699174514739	0.8251694213259365
19304000	19305000	19304500	0.78836184358801	0.837968912070945	2	2	-0.049607068482935	0.049607068482935	0.7513202010405755	0.8091633353564878
19305000	19306000	19305500	0.8072394626769627	0.7969060599839819	2	2	0.0103334026929807	0.0103334026929807	0.764559364935695	0.8032387008476527
19306000	19307000	19306500	0.7457474602947489	0.7250270902220124	2	2	0.0207203700727365	0.0207203700727365	0.756892941786402	0.8005206615632576
19307000	19308000	19307500	0.8240991561181434	0.6435091575091575	2	2	0.1805899986089859	0.1805899986089859	0.7457474602947489	0.7969060599839819
19308000	19309000	19308500	0.8595110242347884	0.9020053515379788	2	2	-0.0424943273031902	0.0424943273031902	0.756892941786402	0.7969060599839819
19309000	19310000	19309500	0.7142096774193548	0.6596523170341964	2	2	0.0545573603851584	0.0545573603851584	0.7722257880849881	0.7969060599839819
19310000	19311000	19310500	0.7201057276995304	0.812369930580928	2	2	-0.0922642028813975	0.0922642028813975	0.756892941786402	0.789339439245402
19311000	19312000	19311500	0.756892941786402	0.6655839421686747	2	2	0.0913089996177273	0.0913089996177273	0.7722257880849881	0.7969060599839819
19312000	19313000	19312500	0.721560606060606	0.7254959415584415	2	2	-0.0039353354978355	0.0039353354978355	0.7722257880849881	0.7928134909879387
19313000	19314000	19313500	0.8025062273646982	0.8632897032022911	2	2	-0.0607834758375929	0.0607834758375929	0.7722257880849881	0.7928134909879387
19314000	19315000	19314500	0.7404797157622739	0.7785399013859828	2	2	-0.0380601856237089	0.0380601856237089	0.7722257880849881	0.7928134909879387
19315000	19316000	19315500	0.7253310786389219	0.6214820959826524	2	2	0.1038489826562695	0.1038489826562695	0.756892941786402	0.789339439245402
19316000	19317000	19316500	0.904436199342826	0.9465736144168652	2	2	-0.0421374150740392	0.0421374150740392	0.7513202010405755	0.7839396703156924
19317000	19318000	19317500	0.5955906976744186	0.588440594059406	2	2	0.0071501036150126	0.0071501036150126	0.7513202010405755	0.7779958099401273
19318000	19319000	19318500	NaN	NaN	0	0	NaN	NaN	0.764559364935695	0.7779958099401273
19319000	19320000	19319500	0.5929766949152542	0.701161109773712	2	2	-0.1081844148584578	0.1081844148584578	0.780293815836499	0.7839396703156924
19320000	19321000	19320500	0.7722257880849881	0.789339439245402	2	2	-0.0171136511604138	0.0171136511604138	0.7836163358238867	0.7839396703156924
19321000	19322000	19321500	NaN	NaN	0	0	NaN	NaN	0.7836163358238867	0.7839396703156924
19322000	19323000	19322500	0.6084979710144928	0.6592110719874804	2	2	-0.0507131009729876	0.0507131009729876	0.7987565554637417	0.7910764651166704
19323000	19324000	19323500	0.8601848676899783	0.8800382136140266	2	2	-0.0198533459240483	0.0198533459240483	0.7987565554637417	0.7984142786065521
19324000	19325000	19324500	0.7950068835627853	0.7588547101449274	2	2	0.0361521734178578	0.0361521734178578	0.7987565554637417	0.7984142786065521
19325000	19326000	19325500	0.6361129032258064	0.63256	2	2	0.0035529032258063	0.0035529032258063	0.7987565554637417	0.8081924984030467
19326000	19327000	19326500	0.8226509378317801	0.8278181030094802	2	2	-0.0051671651777001	0.0051671651777001	0.7987565554637417	0.7984142786065521
19327000	19328000	19327500	0.6664489051094891	0.7928134909879387	2	2	-0.1263645858784496	0.1263645858784496	0.8125785825982392	0.8159165846173229
19328000	19329000	19328500	0.8369047121925308	0.8753682650301644	2	2	-0.0384635528376335	0.0384635528376335	0.8125785825982392	0.8454913501819273
19329000	19330000	19329500	0.925681610576923	0.8837717369958515	2	2	0.0419098735810714	0.0419098735810714	0.8281272121528302	0.8454913501819273
19330000	19331000	19330500	0.7241422688422687	0.7774517184942717	2	2	-0.053309449652003	0.053309449652003	0.8352540993332056	0.8585989633517096
19331000	19332000	19331500	NaN	NaN	0	0	NaN	NaN	0.8364024878012463	0.8658369283068168
19332000	19333000	19332500	0.9357037037037036	0.6418766666666667	2	2	0.293827037037037	0.293827037037037	0.8347518749419212	0.8585989633517096
19333000	19334000	19333500	0.9675	0.8040150662251655	2	2	0.1634849337748345	0.1634849337748345	0.8364024878012463	0.8585989633517096
19334000	19335000	19334500	0.9621989417989418	0.8691249999999999	2	2	0.0930739417989419	0.0930739417989419	0.8359002634099617	0.8631645973543745
