window_start	window_end	window_mid	mean_meth_haplotype1	mean_meth_haplotype2	control_maternal_mean	mean_meth_haplotype1_smoothed	mean_meth_haplotype2_smoothed	control_maternal_mean_smoothed
20738000	20739000	20738500	0.8233333333333334	0.8452886597938144	0.9103672839506172	0.9409558693733452	0.9091483264251013	0.9509243296270076
20739000	20740000	20739500	0.9771477272727274	0.9315113636363638	0.933860294117647	0.9291134751773048	0.8808047348890315	0.9462632006829167
20740000	20741000	20740500	0.8896689655172413	0.8213024054982818	0.9637026822609208	0.9224853090172238	0.8808047348890315	0.9446213271229833
20741000	20742000	20741500	0.9785744680851064	0.979451282051282	0.9792603550295856	0.9158571428571428	0.8727514450867051	0.9433491200130004
20742000	20743000	20742500	0.9291134751773048	0.8888580246913579	0.9466328671328672	0.9149879186095802	0.8805731631283616	0.9421995600065003
20743000	20744000	20743500	0.8021015228426397	0.7650491803278688	0.9042124867444326	0.9158571428571428	0.8883948811700182	0.94105
20744000	20745000	20744500	0.9067142857142856	0.8727514450867051	0.9785030674846626	0.9149879186095802	0.888626452930688	0.9421995600065003
20745000	20746000	20745500	0.96	0.9506666666666664	0.9647176470588236	0.9158571428571428	0.8888580246913579	0.9433491200130004
20746000	20747000	20746500	0.96	0.9403333333333334	0.9656666666666668	0.9224853090172238	0.8963232431149097	0.9446213271229833
20747000	20748000	20747500	0.7656276150627613	0.8135304659498208	0.9215515163840658	0.9177142857142858	0.9037884615384616	0.9458935342329662
20748000	20749000	20748500	0.9158571428571428	0.929823943661972	0.8966	0.9158571428571428	0.8888580246913579	0.9433491200130004
20749000	20750000	20749500	0.9735855443732844	0.9741260440394834	0.9552157921211478	0.9158571428571428	0.9037884615384616	0.94105
20750000	20751000	20750500	0.947167597765363	0.9733084772370486	0.9458935342329662	0.9141186943620176	0.9037884615384616	0.9433491200130004
20751000	20752000	20751500	0.9141186943620176	0.9352390572390572	0.9433491200130004	0.9141186943620176	0.9037884615384616	0.9433491200130004
20752000	20753000	20752500	0.9409558693733452	0.9761681978798584	0.9673101952113872	0.9158571428571428	0.9087408759124088	0.9433491200130004
20753000	20754000	20753500	0.9866815144766148	0.9294386281588448	0.9631064297059873	0.9177142857142858	0.9087408759124088	0.9458935342329662
20754000	20755000	20754500	0.8946999999999999	0.8612277992277992	0.94105	0.9177142857142858	0.912012578616352	0.9458935342329662
20755000	20756000	20755500	0.8229683544303797	0.7931967871485945	0.9004965243296922	0.9174845360824742	0.912012578616352	0.9458935342329662
20756000	20757000	20756500	0.857	0.7105241379310345	0.8682208662936524	0.9177142857142858	0.912012578616352	0.9433491200130004
20757000	20758000	20757500	0.8354887780548628	0.8883948811700182	0.8318932676518884	0.9174845360824742	0.9087408759124088	0.94105
20758000	20759000	20758500	0.932135593220339	0.9142142857142858	0.9156686746987952	0.9174845360824742	0.9087408759124088	0.9400113475177304
20759000	20760000	20759500	0.7875221238938053	0.9037884615384616	0.953146875	0.9174845360824742	0.9087408759124088	0.9400113475177304
20760000	20761000	20760500	0.959942693409742	0.972177449168207	0.9793411542610572	0.9174845360824742	0.912012578616352	0.9400113475177304
20761000	20762000	20761500	0.9743846153846156	0.9287619047619048	0.958098587828426	0.9174845360824742	0.912012578616352	0.9400113475177304
